funder_name	funding_context_from_paper	recipient	grant_number	source_url	following	V	PI	grants	Union.	ID
UK Alzheimer's Society	The PREVENT Dementia study is supported by the UK Alzheimer's Society (grants 178 and 264), the US Alzheimer's Association (grant TriBEKa‐17‐519007), and philanthropic donations.	PREVENT Dementia study	178	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13097112/						
UK Alzheimer's Society	The PREVENT Dementia study is supported by the UK Alzheimer's Society (grants 178 and 264), the US Alzheimer's Association (grant TriBEKa‐17‐519007), and philanthropic donations.	PREVENT Dementia study	264	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13097112/						
US Alzheimer's Association	The PREVENT Dementia study is supported by the UK Alzheimer's Society (grants 178 and 264), the US Alzheimer's Association (grant TriBEKa‐17‐519007), and philanthropic donations.	PREVENT Dementia study	TriBEKa-17-519007	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13097112/						
Global Brain Health Institute	The PREVENT Dementia study at the Dublin site is also partly supported by a project grant from Global Brain Health Institute (GBHI) and philanthropic donations from the Trinity Foundation.	PREVENT Dementia study		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13097112/						
Trinity Foundation	The PREVENT Dementia study at the Dublin site is also partly supported by a project grant from Global Brain Health Institute (GBHI) and philanthropic donations from the Trinity Foundation.	PREVENT Dementia study		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13097112/						
National Institute for Health and Care Research (NIHR)	J.O'B. is supported by the National Institute for Health and Care Research (NIHR) Cambridge Biomedical Research Centre.	J.O'B.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13097112/						
National Institute on Aging (NIA)	This study is supported by NIH/National Institute on Aging, grants 1F31AG072715 (to Osterman) and U01AG058654 (to Haines, Bush, Farrer, Martin, and Pericak-Vance).	Osterman	1F31AG072715	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11727989/						
National Institute on Aging (NIA)	This study is supported by NIH/National Institute on Aging, grants 1F31AG072715 (to Osterman) and U01AG058654 (to Haines, Bush, Farrer, Martin, and Pericak-Vance).	Haines, Bush, Farrer, Martin, and Pericak-Vance	U01AG058654	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11727989/						
National Institute on Aging (NIA)	The NACC database is funded by NIA/NIH Grant U24 AG072122.	NACC	U24AG072122	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG062429 (PI James Brewer, MD, PhD)	James Brewer, MD, PhD	P30AG062429	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066468 (PI Oscar Lopez, MD)	Oscar Lopez, MD	P30AG066468	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG062421 (PI Bradley Hyman, MD, PhD)	Bradley Hyman, MD, PhD	P30AG062421	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066509 (PI Thomas Grabowski, MD)	Thomas Grabowski, MD	P30AG066509	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066514 (PI Mary Sano, PhD)	Mary Sano, PhD	P30AG066514	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066530 (PI Helena Chui, MD)	Helena Chui, MD	P30AG066530	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066507 (PI Marilyn Albert, PhD)	Marilyn Albert, PhD	P30AG066507	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066444 (PI David Holtzman, MD)	David Holtzman, MD	P30AG066444	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066518 (PI Lisa Silbert, MD, MCR)	Lisa Silbert, MD, MCR	P30AG066518	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066512 (PI Thomas Wisniewski, MD)	Thomas Wisniewski, MD	P30AG066512	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066462 (PI Scott Small, MD)	Scott Small, MD	P30AG066462	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG072979 (PI David Wolk, MD)	David Wolk, MD	P30AG072979	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG072972 (PI Charles DeCarli, MD)	Charles DeCarli, MD	P30AG072972	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG072976 (PI Andrew Saykin, PsyD)	Andrew Saykin, PsyD	P30AG072976	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG072975 (PI Julie A. Schneider, MD, MS)	Julie A. Schneider, MD, MS	P30AG072975	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG072978 (PI Ann McKee, MD)	Ann McKee, MD	P30AG072978	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG072977 (PI Robert Vassar, PhD)	Robert Vassar, PhD	P30AG072977	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG066519 (PI Frank LaFerla, PhD)	Frank LaFerla, PhD	P30AG066519	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG062677 (PI Ronald Petersen, MD, PhD)	Ronald Petersen, MD, PhD	P30AG062677	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG079280 (PI Jessica Langbaum, PhD)	Jessica Langbaum, PhD	P30AG079280	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG062422 (PI		P30AG062422	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12445991/						
National Institute on Aging (NIA)	Research reported in this publication was supported by the National Institute on Aging of the National Institutes of Health under Award Numbers R01AG081955, R21 AG073967, P30 AG062677, U01 AG006786, R01 AG041851, R37 AG011378, RF1 AG069052, and R01 AG034676 (the Rochester Epidemiology Project).		R01AG081955	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
National Institute on Aging (NIA)	Research reported in this publication was supported by the National Institute on Aging of the National Institutes of Health under Award Numbers R01AG081955, R21 AG073967, P30 AG062677, U01 AG006786, R01 AG041851, R37 AG011378, RF1 AG069052, and R01 AG034676 (the Rochester Epidemiology Project).		R21AG073967	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
National Institute on Aging (NIA)	Research reported in this publication was supported by the National Institute on Aging of the National Institutes of Health under Award Numbers R01AG081955, R21 AG073967, P30 AG062677, U01 AG006786, R01 AG041851, R37 AG011378, RF1 AG069052, and R01 AG034676 (the Rochester Epidemiology Project).		P30AG062677	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
National Institute on Aging (NIA)	Research reported in this publication was supported by the National Institute on Aging of the National Institutes of Health under Award Numbers R01AG081955, R21 AG073967, P30 AG062677, U01 AG006786, R01 AG041851, R37 AG011378, RF1 AG069052, and R01 AG034676 (the Rochester Epidemiology Project).		U01AG006786	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
National Institute on Aging (NIA)	Research reported in this publication was supported by the National Institute on Aging of the National Institutes of Health under Award Numbers R01AG081955, R21 AG073967, P30 AG062677, U01 AG006786, R01 AG041851, R37 AG011378, RF1 AG069052, and R01 AG034676 (the Rochester Epidemiology Project).		R01AG041851	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
National Institute on Aging (NIA)	Research reported in this publication was supported by the National Institute on Aging of the National Institutes of Health under Award Numbers R01AG081955, R21 AG073967, P30 AG062677, U01 AG006786, R01 AG041851, R37 AG011378, RF1 AG069052, and R01 AG034676 (the Rochester Epidemiology Project).		R37AG011378	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
National Institute on Aging (NIA)	Research reported in this publication was supported by the National Institute on Aging of the National Institutes of Health under Award Numbers R01AG081955, R21 AG073967, P30 AG062677, U01 AG006786, R01 AG041851, R37 AG011378, RF1 AG069052, and R01 AG034676 (the Rochester Epidemiology Project).		RF1AG069052	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
National Institute on Aging (NIA)	Research reported in this publication was supported by the National Institute on Aging of the National Institutes of Health under Award Numbers R01AG081955, R21 AG073967, P30 AG062677, U01 AG006786, R01 AG041851, R37 AG011378, RF1 AG069052, and R01 AG034676 (the Rochester Epidemiology Project).		R01AG034676	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
Kevin Merszei Career Development Award in Neurodegenerative Diseases Research	This work was also supported by the Kevin Merszei Career Development Award in Neurodegenerative Diseases Research IHO Janet Vittone, MD, the GHR Foundation, and the Mayo Foundation for Education and Research.	Janet Vittone, MD		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
GHR Foundation	This work was also supported by the Kevin Merszei Career Development Award in Neurodegenerative Diseases Research IHO Janet Vittone, MD, the GHR Foundation, and the Mayo Foundation for Education and Research.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
Mayo Foundation for Education and Research	This work was also supported by the Kevin Merszei Career Development Award in Neurodegenerative Diseases Research IHO Janet Vittone, MD, the GHR Foundation, and the Mayo Foundation for Education and Research.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451624/						
Aligning Science Across Parkinson's (ASAP)	This project was supported by the Global Parkinson's Genetics Program (GP2; https://gp2.org ). GP2 is funded by the Aligning Science Across Parkinson's (ASAP) initiative and implemented by The Michael J. Fox Foundation for Parkinson's Research (MJFF).	Global Parkinson's Genetics Program (GP2)		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204414/						
Michael J. Fox Foundation for Parkinson's Research	This project was supported by the Global Parkinson's Genetics Program (GP2; https://gp2.org ). GP2 is funded by the Aligning Science Across Parkinson's (ASAP) initiative and implemented by The Michael J. Fox Foundation for Parkinson's Research (MJFF).	Global Parkinson's Genetics Program (GP2)		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204414/						
National Institute on Aging (NIA)	This work was supported by National Institute on Aging grants R01 AG34676, RF1 AG069052, U01 AG006786, P30 AG0062677, R01 AG041851, R01 AG0588738 and the GHR Foundation.		R01AG034676	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13054827/						
National Institute on Aging (NIA)	This work was supported by National Institute on Aging grants R01 AG34676, RF1 AG069052, U01 AG006786, P30 AG0062677, R01 AG041851, R01 AG0588738 and the GHR Foundation.		RF1AG069052	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13054827/						
National Institute on Aging (NIA)	This work was supported by National Institute on Aging grants R01 AG34676, RF1 AG069052, U01 AG006786, P30 AG0062677, R01 AG041851, R01 AG0588738 and the GHR Foundation.		U01AG006786	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13054827/						
National Institute on Aging (NIA)	This work was supported by National Institute on Aging grants R01 AG34676, RF1 AG069052, U01 AG006786, P30 AG0062677, R01 AG041851, R01 AG0588738 and the GHR Foundation.		P30AG0062677	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13054827/						
National Institute on Aging (NIA)	This work was supported by National Institute on Aging grants R01 AG34676, RF1 AG069052, U01 AG006786, P30 AG0062677, R01 AG041851, R01 AG0588738 and the GHR Foundation.		R01AG041851	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13054827/						
National Institute on Aging (NIA)	This work was supported by National Institute on Aging grants R01 AG34676, RF1 AG069052, U01 AG006786, P30 AG0062677, R01 AG041851, R01 AG0588738 and the GHR Foundation.		R01AG058738	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13054827/						
GHR Foundation	This work was supported by National Institute on Aging grants R01 AG34676, RF1 AG069052, U01 AG006786, P30 AG0062677, R01 AG041851, R01 AG0588738 and the GHR Foundation.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13054827/						
Gachon University	Jae Myeong Kang reports grants from Gachon University, during the conduct of the study.	Jae Myeong Kang	GCU-202309190001	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
National Institute on Aging (NIA)	Rachel L. Nosheny reports grants from NIA, during the conduct of the study.	Rachel L. Nosheny		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
National Institutes of Health (NIH)	He received support for his research from the following funding sources: National Institutes of Health (NIH)/NINDS/National Institute on Aging (NIA), Department of Defense (DOD), California Department of Public Health (CDPH), University of Michigan, Siemens, Biogen, Hillblom Foundation, Alzheimer's Association, Johnson & Johnson, Kevin and Connie Shanahan, GE, VUmc, Australian Catholic University (HBI-BHR), The Stroke Foundation, and the Veterans Administration.	Michael W. Weiner		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
National Institute of Neurological Disorders and Stroke (NINDS)	He received support for his research from the following funding sources: National Institutes of Health (NIH)/NINDS/National Institute on Aging (NIA), Department of Defense (DOD), California Department of Public Health (CDPH), University of Michigan, Siemens, Biogen, Hillblom Foundation, Alzheimer's Association, Johnson & Johnson, Kevin and Connie Shanahan, GE, VUmc, Australian Catholic University (HBI-BHR), The Stroke Foundation, and the Veterans Administration.	Michael W. Weiner		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
Department of Defense	He received support for his research from the following funding sources: National Institutes of Health (NIH)/NINDS/National Institute on Aging (NIA), Department of Defense (DOD), California Department of Public Health (CDPH), University of Michigan, Siemens, Biogen, Hillblom Foundation, Alzheimer's Association, Johnson & Johnson, Kevin and Connie Shanahan, GE, VUmc, Australian Catholic University (HBI-BHR), The Stroke Foundation, and the Veterans Administration.	Michael W. Weiner		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
California Department of Public Health	He received support for his research from the following funding sources: National Institutes of Health (NIH)/NINDS/National Institute on Aging (NIA), Department of Defense (DOD), California Department of Public Health (CDPH), University of Michigan, Siemens, Biogen, Hillblom Foundation, Alzheimer's Association, Johnson & Johnson, Kevin and Connie Shanahan, GE, VUmc, Australian Catholic University (HBI-BHR), The Stroke Foundation, and the Veterans Administration.	Michael W. Weiner		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
Hillblom Foundation	He received support for his research from the following funding sources: National Institutes of Health (NIH)/NINDS/National Institute on Aging (NIA), Department of Defense (DOD), California Department of Public Health (CDPH), University of Michigan, Siemens, Biogen, Hillblom Foundation, Alzheimer's Association, Johnson & Johnson, Kevin and Connie Shanahan, GE, VUmc, Australian Catholic University (HBI-BHR), The Stroke Foundation, and the Veterans Administration.	Michael W. Weiner		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
Alzheimer's Association	He received support for his research from the following funding sources: National Institutes of Health (NIH)/NINDS/National Institute on Aging (NIA), Department of Defense (DOD), California Department of Public Health (CDPH), University of Michigan, Siemens, Biogen, Hillblom Foundation, Alzheimer's Association, Johnson & Johnson, Kevin and Connie Shanahan, GE, VUmc, Australian Catholic University (HBI-BHR), The Stroke Foundation, and the Veterans Administration.	Michael W. Weiner		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
The Stroke Foundation	He received support for his research from the following funding sources: National Institutes of Health (NIH)/NINDS/National Institute on Aging (NIA), Department of Defense (DOD), California Department of Public Health (CDPH), University of Michigan, Siemens, Biogen, Hillblom Foundation, Alzheimer's Association, Johnson & Johnson, Kevin and Connie Shanahan, GE, VUmc, Australian Catholic University (HBI-BHR), The Stroke Foundation, and the Veterans Administration.	Michael W. Weiner		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
Veterans Administration	He received support for his research from the following funding sources: National Institutes of Health (NIH)/NINDS/National Institute on Aging (NIA), Department of Defense (DOD), California Department of Public Health (CDPH), University of Michigan, Siemens, Biogen, Hillblom Foundation, Alzheimer's Association, Johnson & Johnson, Kevin and Connie Shanahan, GE, VUmc, Australian Catholic University (HBI-BHR), The Stroke Foundation, and the Veterans Administration.	Michael W. Weiner		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11706033/						
Society for the Promotion of Research in Experimental Neurology, Vienna, Austria	The study was funded by the Society for the Promotion of Research in Experimental Neurology, Vienna, Austria.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11854393/						
EiTB-Maratoia/BIOEF/Basque Government	The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752).		BIO22/ALZ/002	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
Canadian Institutes of Health Research	The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752). Andrea A. Jones is supported by Canadian Institutes of Health Research (grant FRN‐190708).		MOP-14037	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
Canadian Institutes of Health Research	The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752). Andrea A. Jones is supported by Canadian Institutes of Health Research (grant FRN‐190708).		FRN-190708	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
National Institutes of Health (NIH)	The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752).		U01AG046152	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
National Institute on Aging (NIA)	MAP is a collaborative, multidisciplinary, and translational research project funded by the National Institute on Aging (grants R01AG17917, U01AG46152, U01AG61356, and R01AG42210). The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752).		R01AG17917	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
National Institute on Aging (NIA)	MAP is a collaborative, multidisciplinary, and translational research project funded by the National Institute on Aging (grants R01AG17917, U01AG46152, U01AG61356, and R01AG42210). The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752).		U01AG46152	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
National Institute on Aging (NIA)	MAP is a collaborative, multidisciplinary, and translational research project funded by the National Institute on Aging (grants R01AG17917, U01AG46152, U01AG61356, and R01AG42210). The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752).		U01AG61356	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
National Institute on Aging (NIA)	MAP is a collaborative, multidisciplinary, and translational research project funded by the National Institute on Aging (grants R01AG17917, U01AG46152, U01AG61356, and R01AG42210). The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752).		R01AG42210	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
National Institute on Aging (NIA)	MAP is a collaborative, multidisciplinary, and translational research project funded by the National Institute on Aging (grants R01AG17917, U01AG46152, U01AG61356, and R01AG42210). The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752).		R01AG072475	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
National Institute on Aging (NIA)	MAP is a collaborative, multidisciplinary, and translational research project funded by the National Institute on Aging (grants R01AG17917, U01AG46152, U01AG61356, and R01AG42210). The study was supported by EiTB‐Maratoia/BIOEF/Basque Government (grant BIO22/ALZ/002), the Canadian Institutes of Health Research (grant MOP‐14037), and the US National Institutes of Health (grant U01 AG046152) and Aging (grants R01AG072475 and K23AG058752).		K23AG058752	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
Ramón y Cajal Programme	Alfredo Ramos‐Miguel is a 'Ramón y Cajal' Researcher (grants RYC‐2016‐19282, MCIU‐EHU/UPV).	Alfredo Ramos-Miguel	RYC-2016-19282	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
Ramón y Cajal Programme	Alfredo Ramos‐Miguel is a 'Ramón y Cajal' Researcher (grants RYC‐2016‐19282, MCIU‐EHU/UPV).	Alfredo Ramos-Miguel	MCIU-EHU/UPV	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567865/						
Global Alzheimer Platform Foundation	The Bio-Hermes study was sponsored by the Global Alzheimer Platform Foundation.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Eli Lilly and Company	Eli Lilly and Company provided quantitative readings of 18F-Florbetapir PET scans and pTau217 assays.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
AbbVie	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Alzheimer's Drug Discovery Foundation	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Aural Analytics	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Biogen	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Cognivue	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
C2N	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Gates Ventures	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Linus Health	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Merck & Co	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Quanterix	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Retispec	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
Roche	Entities that provided direct funding to Bio-Hermes were AbbVie, Alzheimer's Drug Discovery Foundation (ADDF), Aural Analytics, Biogen, Cognivue, C2N, Gates Ventures, Linus Health, Merck & Co, Quanterix, Retispec, and Roche.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/						
National Institute for Health and Care Research (NIHR)	The APPLE-Tree programme was supported by the Economic and Social Research Council/National Institute for Health Research (grant number ES/S010408/1 awarded to University College London).	University College London	ES/S010408/1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10594201/						
Alzheimer's Society	The NIDUS-Family study was supported by the University College London Alzheimer's Society Centre of Excellence (grant number 300 awarded to University College London).	University College London	300	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10594201/						
National Institute on Aging (NIA)	The NACC database is funded by National Institute on Aging (NIA)/National Institutes of Health (NIH) Grant U24 AG072122.	NACC	U24AG072122	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12706122/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA‐funded ADRCs: P30 AG062429 (Principal Investigator [PI] James Brewer, MD, PhD)	James Brewer, MD, PhD	P30AG062429	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12706122/						
National Institute on Aging (NIA)	P30 AG066468 (PI Oscar Lopez, MD)	Oscar Lopez, MD	P30AG066468	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12706122/						
National Institute on Aging (NIA)	P30 AG062421 (PI Bradley Hyman, MD, PhD)	Bradley Hyman, MD, PhD	P30AG062421	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12706122/						
